# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
144384 282 0.00119650381095099
144896 283 0.00119617476713504
145408 284 0.00119579443373518
145920 285 0.00119536260334631
146432 286 0.00119487882126755
146944 287 0.00119434684376074
147456 288 0.00119376724582575
147968 289 0.00119314053829899
148480 290 0.00119246880425831
148992 291 0.00119175624977395
149504 292 0.00119100161074575
150016 293 0.00119020357237997
150528 294 0.00118936945603916
151040 295 0.00118850219897135
151552 296 0.00118759965204444
152064 297 0.00118666408780985
152576 298 0.00118570479053193
153088 299 0.0011847223049552
153600 300 0.00118371246431516
154112 301 0.00118268397500984
154624 302 0.00118164250165722
155136 303 0.00118058410049499
155648 304 0.00117951056997008
156160 305 0.00117842969036898
156672 306 0.00117734267547528
157184 307 0.0011762476415144
157696 308 0.00117514913629815
158208 309 0.00117405230081985
158720 310 0.00117295631198893
159232 311 0.00117186335415052
159744 312 0.00117077779464514
160256 313 0.00116970075696774
160768 314 0.00116863421502502
161280 315 0.0011675805058995
161792 316 0.00116654235933119
162304 317 0.00116552014335726
162816 318 0.00116451630906765
163328 319 0.00116353445956593
163840 320 0.00116257375073796
164352 321 0.0011616356873052
164864 322 0.00116072405390287
165376 323 0.00115983986750126
165888 324 0.00115898187161035
166400 325 0.00115815163029286
166912 326 0.00115735424035707
167424 327 0.00115658863751199
167936 328 0.00115585108308291
168448 329 0.0011551464817586
168960 330 0.0011544779268813
169472 331 0.00115383980646075
169984 332 0.00115323198962162
170496 333 0.00115266222549686
171008 334 0.00115212866570751
171520 335 0.0011516274393653
172032 336 0.00115116494759035
172544 337 0.00115074338959743
173056 338 0.00115036061511263
173568 339 0.001150017635082
174080 340 0.00114971704323526
174592 341 0.00114946067826255
175104 342 0.00114924669393163
175616 343 0.0011490754144892
176128 344 0.00114894924904939
176640 345 0.00114886706068204
177152 346 0.00114882818423425
177664 347 0.00114883358579873
178176 348 0.00114888238498699
178688 349 0.00114897248183267
179200 350 0.00114910280826127
179712 351 0.00114927182335417
180224 352 0.00114947731148813
180736 353 0.00114971945357792
181248 354 0.00114999989318602
181760 355 0.00115031702035636
182272 356 0.00115066878465198
182784 357 0.00115105736879013
183296 358 0.00115148225373844
183808 359 0.00115193732835277
184320 360 0.00115242080401929
184832 361 0.00115293415590034
185344 362 0.00115347329265526
185856 363 0.00115403404719588
186368 364 0.00115461904249577
186880 365 0.00115523038153712
187392 366 0.00115586414634905
187904 367 0.00115651922997416
188416 368 0.00115719940479026
188928 369 0.00115790240672418
189440 370 0.00115862293143895
189952 371 0.0011593602757748
190464 372 0.00116011290886033
190976 373 0.00116087643653126
191488 374 0.00116164803511828
192000 375 0.0011624276858722
192512 376 0.00116321497466206
193024 377 0.001164008470046
193536 378 0.00116480844301634
194048 379 0.00116561531210731
194560 380 0.00116642718605839
195072 381 0.00116724329556908
195584 382 0.00116806318754312
196096 383 0.00116888288149541
196608 384 0.0011697002031304
197120 385 0.00117051491181543
197632 386 0.00117132330369709
198144 387 0.00117212187378047
198656 388 0.00117291013216251
199168 389 0.00117368732281601
199680 390 0.00117445059528509
200192 391 0.00117519714409585
200704 392 0.00117592764214393
201216 393 0.00117664227235358
201728 394 0.00117733674707866
202240 395 0.00117800936285639
202752 396 0.00117866272973791
203264 397 0.00117929465404914
203776 398 0.00117990028147508
204288 399 0.00118048108559319
204800 400 0.00118103808414121
205312 401 0.00118156681819286
205824 402 0.00118206553210587
206336 403 0.00118253592821111
206848 404 0.00118297649619964
207360 405 0.00118338402276488
207872 406 0.0011837587689819
208384 407 0.00118410067537768
208896 408 0.00118440738552717
209408 409 0.00118467829244025
209920 410 0.00118491393117943
210432 411 0.00118511286785193
210944 412 0.00118527444628517
211456 413 0.00118540000891729
211968 414 0.00118548883900063
212480 415 0.00118554021689178
212992 416 0.00118555639575914
213504 417 0.00118553885715365
214016 418 0.00118548693057662
214528 419 0.0011854016612692
215040 420 0.00118528552274446
215552 421 0.00118513851303022
216064 422 0.00118495874441685
216576 423 0.0011847461142847
217088 424 0.00118450239637648
217600 425 0.00118422674067622
218112 426 0.00118391742393652
218624 427 0.00118357799904374
219136 428 0.0011832122974272
219648 429 0.00118281906198765
220160 430 0.0011823995608796
220672 431 0.00118195856663979
221184 432 0.00118149642742793
221696 433 0.00118101170010409
222208 434 0.00118050706121437
222720 435 0.00117998497239229
223232 436 0.00117944476769489
223744 437 0.00117888719201932
224256 438 0.00117831482945053
224768 439 0.00117772803514505
225280 440 0.00117712668317104
225792 441 0.00117651201500743
226304 442 0.00117588468712787
226816 443 0.00117524515081939
227328 444 0.00117459453588432
227840 445 0.00117393480655819
228352 446 0.00117326703340462
