# Scalar ASCII output created by CarpetIOScalar
# created on kop28.datura.admin by hoppese on Aug 01 2013 at 18:36:36+0200
# parameter filename: "/lustre/datura/hoppese/simulations/bbhCart2-AEI_Gauss/output-0000/bbhCart2-AEI_Gauss.par"
# Build ID: build-sim-datura-hoppese-2013.08.01-16.22.29-21953
# Simulation ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
# Run ID: run-bbhCart2-AEI_Gauss-kop28.datura.admin-hoppese-2013.08.01-16.35.32-31820
#
# SYSTEMSTATISTICS::maxrss_mb (systemstatistics::process_memory_mb)
# 1:iteration 2:time 3:data
# data columns: 3:maxrss_mb 4:majflt_mb 5:arena_mb 6:ordblks_mb 7:hblks_mb 8:hblkhd_mb 9:uordblks_mb 10:fordblks_mb 11:keepcost_mb 12:swap_used_mb
55296 77.76 6639 3 -62 0 0 22 -943 1909 4 12
55552 78.12 6639 3 -62 0 0 22 -907 1916 4 12
55808 78.48 6639 3 -62 0 0 22 -872 1916 4 12
56064 78.84 6639 3 -62 0 0 22 -844 1924 4 12
56320 79.2 6639 3 -62 0 0 22 -1222 1681 4 12
56576 79.56 6639 3 -62 0 0 22 -1204 1692 4 12
56832 79.92 6639 3 -62 0 0 22 -1209 1715 4 12
57088 80.28 6639 3 -62 0 0 22 -1199 1721 4 12
57344 80.64 6639 3 -62 0 0 22 -1189 1734 4 12
57600 81 6639 3 -62 0 0 22 -1178 1746 4 12
57856 81.36 6639 3 -62 0 0 22 -1193 1772 4 12
58112 81.72 6639 3 -62 0 0 22 -1153 1765 4 12
58368 82.08 6639 3 -62 0 0 22 -1151 1778 4 12
58624 82.44 6639 3 -62 0 0 22 -1181 1813 4 12
58880 82.8 6639 3 -62 0 0 22 -1164 1811 4 12
59136 83.16 6639 3 -62 0 0 22 -1153 1831 4 12
59392 83.52 6639 3 -62 0 0 22 -1177 1853 4 12
59648 83.88 6639 3 -62 0 0 22 -1177 1862 4 12
59904 84.24 6639 3 -62 0 0 22 -1152 1863 4 12
60160 84.6 6639 3 -62 0 0 22 -1183 1896 4 12
60416 84.96 6639 3 -62 0 0 22 -1174 1903 4 12
60672 85.32 6639 3 -62 0 0 22 -1172 1915 4 12
60928 85.68 6639 3 -62 0 0 22 -1196 1937 4 12
61184 86.04 6639 3 -62 0 0 22 -1187 1943 4 12
61440 86.4 6639 3 -62 0 0 22 -1520 1457 4 12
61696 86.76 6639 3 -62 0 0 22 -1551 1489 4 12
61952 87.12 6639 3 -62 0 0 22 -1561 1498 4 12
62208 87.48 6639 3 -62 0 0 22 -1593 1530 4 12
62464 87.84 6639 3 -62 0 0 22 -1593 1530 4 12
62720 88.2 6639 3 -62 0 0 22 -1584 1521 4 12
62976 88.56 6639 3 -62 0 0 22 -1557 1495 4 12
63232 88.92 6639 3 -62 0 0 22 -1545 1483 4 12
63488 89.28 6639 3 -62 0 0 22 -1536 1474 4 12
63744 89.64 6639 3 -62 0 0 22 -1231 1947 4 12
64000 90 6639 3 -62 0 0 22 -1216 1924 4 12
64256 90.36 6639 3 -62 0 0 22 -1241 1920 4 12
64512 90.72 6639 3 -62 0 0 22 -1244 1907 4 12
64768 91.08 6639 3 -62 0 0 22 -1244 1894 4 12
65024 91.44 6639 3 -62 0 0 22 -1244 1885 4 12
65280 91.8 6639 3 -62 0 0 22 -1246 1867 4 12
65536 92.16 6639 3 -62 0 0 22 -1263 1864 4 12
65792 92.52 6639 3 -62 0 0 22 -1259 1839 4 12
66048 92.88 6639 3 -62 0 0 22 -1283 1842 4 12
66304 93.24 6639 3 -62 0 0 22 1926 -688 4 12
66560 93.6 6639 3 -62 0 0 22 1940 -661 4 12
66816 93.96 6639 3 -62 0 0 22 1949 -633 4 12
67072 94.32 6639 3 -62 0 0 22 1953 -590 4 12
67328 94.68 6639 3 -62 0 0 22 1949 -563 4 12
67584 95.04 6639 3 -62 0 0 22 1973 -509 4 12
67840 95.4 6639 3 -62 0 0 22 2014 2018 4 12
68096 95.76 6639 3 -62 0 0 22 2035 1998 4 12
68352 96.12 6639 3 -62 0 0 22 2045 1987 4 12
68608 96.48 6639 3 -62 0 0 22 -1275 1945 4 12
68864 96.84 6639 3 -62 0 0 22 -1329 1920 4 12
69120 97.2 6639 3 -62 0 0 22 -1489 1656 4 12
69376 97.56 6639 3 -62 0 0 22 -1539 1654 4 12
69632 97.92 6639 3 -62 0 0 22 -1592 1655 4 12
69888 98.28 6639 3 -62 0 0 22 -1655 1667 4 12
70144 98.64 6639 3 -62 0 0 22 -1688 1665 4 12
70400 99 6639 3 -62 0 0 22 -1710 1648 4 12
70656 99.36 6639 3 -62 0 0 22 -1719 1662 4 12
70912 99.72 6639 3 -62 0 0 22 -1670 1664 4 12
71168 100.08 6639 3 -62 0 0 22 -1657 1686 4 12
71424 100.44 6639 3 -62 0 0 22 -1602 1683 4 12
71680 100.8 6639 3 -62 0 0 22 -1584 1698 4 12
71936 101.16 6639 3 -62 0 0 22 -1561 1731 4 12
72192 101.52 6639 3 -62 0 0 22 -1529 1739 4 12
72448 101.88 6639 3 -62 0 0 22 -1518 1774 4 12
72704 102.24 6639 3 -62 0 0 22 -1493 1799 4 12
72960 102.6 6639 3 -62 0 0 22 -1488 1837 4 12
73216 102.96 6639 3 -62 0 0 22 -1487 1861 4 12
73472 103.32 6639 3 -62 0 0 22 -1463 1881 4 12
73728 103.68 6639 3 -62 0 0 22 -1475 1917 4 12
73984 104.04 6639 3 -62 0 0 22 -1473 1942 4 12
74240 104.4 6638 3 -62 0 0 22 -1495 1976 4 12
74496 104.76 6638 3 -62 0 0 22 2032 2001 4 12
74752 105.12 6638 3 -62 0 0 22 2017 2016 4 12
75008 105.48 6638 3 -62 0 0 22 1983 -80 4 12
75264 105.84 6638 3 -62 0 0 22 1933 -32 4 12
75520 106.2 6638 3 -62 0 0 22 -1825 1763 4 12
75776 106.56 6638 3 -62 0 0 22 -1853 1790 4 12
76032 106.92 6638 3 -62 0 0 22 -1871 1809 4 12
76288 107.28 6638 3 -62 0 0 22 -1854 1792 4 12
